cosine_score,mass_difference,node1,node2
0.7938,-14.016,23778_pos,26990_pos
0.9193,-114.068,26990_pos,36645_pos
0.9407,-116.047,26990_pos,33750_pos
0.9206,-116.084,26990_pos,35402_pos
0.9247,2.016,26990_pos,28493_pos
0.9101,-60.057,22761_pos,26990_pos
0.9577,-58.042,23461_pos,26990_pos
0.9378,-58.005,26990_pos,29972_pos
0.9204,0,33555_pos,40268_pos
0.9343,0,33555_pos,42167_pos
1,0,6222_pos,6222_pos
1,0,7042_pos,7042_pos
0.9365,-0.001,53661_pos,54796_pos
0.9002,88.052,54796_pos,54797_pos
0.9178,-44.026,54791_pos,54796_pos
0.9321,-0.001,52894_pos,54796_pos
0.9364,0,53775_pos,54796_pos
0.9449,0,54026_pos,54796_pos
0.9498,0,54410_pos,54796_pos
0.9229,-0.001,52639_pos,54796_pos
0.9371,0,54715_pos,54796_pos
0.9057,88.052,54790_pos,54796_pos
0.908,-22.001,4656_pos,38363_pos
0.9406,435.227,41265_pos,41871_pos
0.8493,-419.233,33261_pos,41265_pos
0.7688,-405.254,34810_pos,41265_pos
0.8773,390.169,41265_pos,41278_pos
0.7371,362.138,41265_pos,41324_pos
0.9157,435.328,41265_pos,41403_pos
0.7687,28.022,15675_pos,37722_pos
0.7887,-23.967,6080_pos,37722_pos
0.9071,-68.038,37587_pos,37722_pos
0.9169,44.017,27899_pos,37722_pos
1,0,13604_pos,13604_pos
0.9549,15.995,43184_pos,47721_pos
0.8495,15.995,37828_pos,47721_pos
1,0,23265_pos,23265_pos
0.9352,-14.016,10228_pos,10589_pos
0.8638,-79.957,8425_pos,10228_pos
1,0,15002_pos,15002_pos
1,0,23388_pos,23388_pos
0.9302,88.052,51863_pos,54293_pos
0.9105,-44.026,51863_pos,51874_pos
0.9278,3.958,51863_pos,52015_pos
0.7901,-15.011,19461_pos,25904_pos
0.9642,0.004,24914_pos,25904_pos
0.9392,-0.092,20691_pos,22009_pos
0.964,-17.028,6226_pos,6234_pos
1,0,55051_pos,55051_pos
1,0,37232_pos,37232_pos
1,0,30931_pos,30931_pos
1,0,3777_pos,3777_pos
1,-0.007,3016_pos,3237_pos
0.9747,0,18549_pos,21004_pos
1,0,5352_pos,5352_pos
0.9724,44.025,6937_pos,7102_pos
0.9433,-44.026,6937_pos,8984_pos
0.8878,-410.215,6937_pos,19718_pos
0.9719,-44.026,6283_pos,6937_pos
0.9547,-44.026,5232_pos,6937_pos
0.8874,-275.09,6937_pos,13387_pos
1,0,40155_pos,40155_pos
1,0,51657_pos,51657_pos
0.9696,-88.052,22642_pos,24098_pos
0.9581,-176.105,18976_pos,24098_pos
0.9752,88.052,24098_pos,24578_pos
0.9759,-44.026,24098_pos,25950_pos
0.9674,-132.078,23913_pos,24098_pos
0.9751,-44.026,23337_pos,24098_pos
0.9756,-132.079,21749_pos,24098_pos
0.9697,-88.052,24098_pos,25161_pos
0.9278,28.031,46211_pos,53342_pos
0.9466,0,46211_pos,48373_pos
0.9221,28.03,46211_pos,54846_pos
0.9414,44.026,46211_pos,46268_pos
0.8683,0,23112_pos,30712_pos
0.8894,0,15406_pos,30712_pos
0.8776,0,25938_pos,30712_pos
0.9028,0,12847_pos,30712_pos
0.9652,0,26774_pos,30712_pos
0.9082,0,17142_pos,30712_pos
0.8755,-0.036,17216_pos,30712_pos
0.89,0,30712_pos,31445_pos
0.9396,0,34771_pos,35846_pos
0.9613,0,34771_pos,39493_pos
0.9265,0,28271_pos,34771_pos
0.9521,0,34771_pos,37904_pos
0.9329,-0.036,34771_pos,34866_pos
0.9489,0,33179_pos,34771_pos
0.9318,0,34771_pos,36768_pos
1,0,19669_pos,19669_pos
0.8077,-71.074,16704_pos,20284_pos
0.8636,-72.058,16704_pos,37306_pos
0.8694,-86.037,16704_pos,39192_pos
0.9748,88.052,29256_pos,30390_pos
0.9787,-44.026,30390_pos,30837_pos
0.9789,0,28218_pos,30390_pos
0.9674,-132.079,26169_pos,30390_pos
0.9765,-44.026,29190_pos,30390_pos
0.9703,-132.079,28065_pos,30390_pos
0.9728,44.026,28773_pos,30390_pos
0.9708,132.079,29573_pos,30390_pos
0.9353,0,40757_pos,46806_pos
0.9006,-60.021,40757_pos,42400_pos
0.9186,0,40757_pos,43695_pos
0.9261,0,40757_pos,46376_pos
0.9595,-30.01,6910_pos,7419_pos
0.9621,-88.052,6044_pos,7419_pos
0.9724,-44.026,4967_pos,7419_pos
0.9646,-58.042,7419_pos,9555_pos
0.9724,-44.026,7031_pos,7419_pos
0.9619,-88.052,3882_pos,7419_pos
0.9607,-14.016,7419_pos,8628_pos
0.9628,-44.026,7419_pos,8114_pos
0.9623,0,6816_pos,7419_pos
0.9618,0,36548_pos,40123_pos
0.902,0,40123_pos,46376_pos
0.9276,0,33739_pos,37943_pos
0.8611,-14.016,35903_pos,37943_pos
0.8287,-12,36238_pos,39098_pos
0.744,-17.003,55155_pos,55323_pos
0.9121,45.058,3758_pos,5402_pos
1,0,30358_pos,30358_pos
0.9784,-44.027,10855_pos,12486_pos
0.9804,0,10855_pos,13675_pos
0.9727,-159.079,10855_pos,15076_pos
