FeatureID,Feature,Annotation,FeatureID_plain,Mode,Cosine,Mzerror,SubCategory,Group0,Group1,Group2
10001_neg,X10001_neg_348.152_5.228_NA,,10001,neg,,,,,,
10001_pos,X10001_pos_266.107_3.886_NA,,10001,pos,,,,,,
10004_pos,X10004_pos_652.412_4.043_NA,,10004,pos,,,,,,
10006_pos,X10006_pos_210.149_3.911_NA,,10006,pos,,,,,,
10007_neg,X10007_neg_287.06_5.273_NA,,10007,neg,,,,,,
10008_pos,X10008_pos_296.183_3.89_NA,,10008,pos,,,,,,
10010_neg,X10010_neg_385.187_5.294_NA,,10010,neg,,,,,,
10013_neg,X10013_neg_369.192_5.301_NA,,10013,neg,,,,,,
10016_pos,X10016_pos_274.201_3.891_NA,,10016,pos,,,,,,
10019_neg,X10019_neg_291.124_5.302_NA,,10019,neg,,,,,,
10021_pos,X10021_pos_433.218_3.852_NA,,10021,pos,,,,,,
10023_pos,X10023_pos_456.244_3.836_NA,,10023,pos,,,,,,
10028_pos,X10028_pos_459.28_3.786_Spectral Match to Decaethylene glycol from NIST14,Spectral Match to Decaethylene glycol from NIST14,10028,pos,0.880907,0,PAG,a,polymer additive,PAG
10029_neg,X10029_neg_247.061_5.286_NA,,10029,neg,,,,,,
1003_neg,X1003_neg_299.95_2.718_NA,,1003,neg,,,,,,
1003_pos,X1003_pos_280.212_0.942_NA,,1003,pos,,,,,,
10035_pos,X10035_pos_636.417_3.88_NA,,10035,pos,,,,,,
10036_neg,X10036_neg_211.097_5.287_NA,,10036,neg,,,,,,
10037_neg,X10037_neg_391.213_5.463_NA,,10037,neg,,,,,,
1004_neg,X1004_neg_363.945_2.728_NA,,1004,neg,,,,,,
10046_neg,X10046_neg_461.241_5.333_NA,,10046,neg,,,,,,
1005_pos,X1005_pos_318.191_0.945_NA,,1005,pos,,,,,,
10052_pos,X10052_pos_481.262_3.99_NA,,10052,pos,,,,,,
10056_neg,X10056_neg_355.14_5.307_NA,,10056,neg,,,,,,
10059_neg,X10059_neg_501.117_5.322_NA,,10059,neg,,,,,,
1006_pos,"X1006_pos_180.088_0.932_2-amino-1,9-dimethyl-6,9-dihydro-1H-purin-6-one","2-amino-1,9-dimethyl-6,9-dihydro-1H-purin-6-one",1006,pos,0.793718,0.593107,,,,
10062_pos,X10062_pos_315.687_3.883_NA,,10062,pos,,,,,,
10064_neg,X10064_neg_163.014_5.341_NA,,10064,neg,,,,,,
10065_neg,X10065_neg_263.129_5.356_NA,,10065,neg,,,,,,
10065_pos,X10065_pos_315.156_3.906_NA,,10065,pos,,,,,,
10067_pos,X10067_pos_173.077_3.887_NA,,10067,pos,,,,,,
10068_neg,X10068_neg_353.161_5.354_NA,,10068,neg,,,,,,
1007_pos,X1007_pos_163.087_0.91_NA,,1007,pos,,,,,,
10072_pos,X10072_pos_197.117_3.853_Loliolide,Loliolide,10072,pos,0.921698,1.47079,,,,
10073_pos,X10073_pos_548.292_3.806_NA,,10073,pos,,,,,,
10074_neg,X10074_neg_407.208_5.341_NA,,10074,neg,,,,,,
10074_pos,X10074_pos_282.102_3.923_NA,,10074,pos,,,,,,
10077_pos,X10077_pos_271.151_3.849_NA,,10077,pos,,,,,,
1008_neg,X1008_neg_241.018_2.827_NA,,1008,neg,,,,,,
10081_pos,X10081_pos_428.249_3.898_NA,,10081,pos,,,,,,
10082_neg,X10082_neg_199.043_5.436_NA,,10082,neg,,,,,,
10082_pos,X10082_pos_167.118_3.849_NA,,10082,pos,,,,,,
10085_pos,X10085_pos_537.159_3.902_NA,,10085,pos,,,,,,
10086_pos,X10086_pos_749.516_3.944_Azithromycin - Dark Web Drugs,Azithromycin - Dark Web Drugs,10086,pos,0.919537,0.162866,,a,pharmaceutical,antibiotic
10087_neg,X10087_neg_227.038_5.117_NA,,10087,neg,,,,,,
10088_pos,X10088_pos_213.112_3.862_NA,,10088,pos,,,,,,
1009_neg,X1009_neg_327.145_2.77_NA,,1009,neg,,,,,,
1009_pos,X1009_pos_184.119_0.94_NA,,1009,pos,,,,,,
10090_neg,X10090_neg_317.151_5.33_NA,,10090,neg,,,,,,
10091_neg,X10091_neg_381.192_5.384_NA,,10091,neg,,,,,,
10092_neg,X10092_neg_451.198_5.422_NA,,10092,neg,,,,,,
10097_neg,X10097_neg_579.246_5.335_NA,,10097,neg,,,,,,
10098_neg,X10098_neg_235.061_5.323_NA,,10098,neg,,,,,,
10099_pos,X10099_pos_548.185_3.892_NA,,10099,pos,,,,,,
1010_neg,X1010_neg_271.119_2.888_NA,,1010,neg,,,,,,
10100_neg,X10100_neg_477.177_5.326_NA,,10100,neg,,,,,,
10105_pos,X10105_pos_251.139_3.758_Massbank:EQ362703 Lacosamide|N2-Acetyl-N-benzyl-O-methyl-D-serinamide|2-acetamido-N-benzyl-3-methoxypropanamide,Massbank:EQ362703 Lacosamide|N2-Acetyl-N-benzyl-O-methyl-D-serinamide|2-acetamido-N-benzyl-3-methoxypropanamide,10105,pos,0.896981,0.36455,,a,pharmaceutical,pharmaceutical - other
10109_pos,X10109_pos_163.075_3.875_NA,,10109,pos,,,,,,
1011_neg,X1011_neg_297.098_2.793_NA,,1011,neg,,,,,,
10112_neg,X10112_neg_465.214_5.44_NA,,10112,neg,,,,,,
10116_neg,X10116_neg_379.177_5.378_NA,,10116,neg,,,,,,
10117_pos,X10117_pos_156.102_3.926_NA,,10117,pos,,,,,,
10118_neg,X10118_neg_281.14_5.369_NA,,10118,neg,,,,,,
10119_pos,X10119_pos_553.247_3.81_NA,,10119,pos,,,,,,
10120_neg,X10120_neg_298.969_5.38_NA,,10120,neg,,,,,,
10121_neg,X10121_neg_421.077_5.386_NA,,10121,neg,,,,,,
1013_neg,X1013_neg_263.014_2.743_NA,,1013,neg,,,,,,
1013_pos,X1013_pos_351.285_0.938_NA,,1013,pos,,,,,,
10130_neg,X10130_neg_401.161_5.332_NA,,10130,neg,,,,,,
10131_pos,X10131_pos_274.596_3.894_NA,,10131,pos,,,,,,
